COMPONENT                               | VERSION       | LICENCE        | URL
----------------------------------------------------------------------------------------------------------------------------------------------
Spring Boot Starter Web                 | 2.3.4.RELEASE | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Spring Boot Starter Actuator            | 2.3.4.RELEASE | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Spring Boot Configuration Processor     | 2.3.4.RELEASE | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Orange sdk                              | 0.0.3-SNAPSHOT| Apache License 2.0         | https://github.com/DatavenueLiveObjects/FIFO_SDK_LiveObjects/blob/main/LICENSE
Google Cloud PubSub                     | 1.108.6       | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Mockito Core                            | 3.1.0         | MIT License                | https://github.com/mockito/mockito/blob/master/LICENSE
Mockito JUnit Jupiter                   | 3.1.0         | MIT License                | https://github.com/mockito/mockito/blob/master/LICENSE
JUnit Jupiter API                       | 5.4.2         | Eclipse Public License 2.0 | https://www.eclipse.org/legal/epl-v20.html
ArchUnit                                | 0.14.1        | Apache License             | Version 2.0, https://www.apache.org/licenses/LICENSE-2.0
ArchUnit                                | 0.14.1        | BSD                        | https://asm.ow2.io/license.html
